order_id,first_name,last_name,email,order_date,order_total,country,product_category
order_id,first_name,last_name,email,order_date,order_total,country,product_category
841613,Lisa,Lee,lisa.lee973@example.com,2025-02-19,62.65,United States,Sports
954180,Jessica,Thompson,jessica.thompson279@example.com,2024-05-07,223.31,United Kingdom,Home
367325,Ashley,Sanchez,ashley.sanchez219@example.com,2025-11-11,480.6,United States,Sports
905425,Emily,Lewis,emily.lewis59@example.com,2025-12-28,169.54,Canada,Beauty
131451,Nancy,Gonzalez,nancy.gonzalez448@example.com,2023-12-08,460.01,United States,Clothing
563997,Paul,Sanchez,paul.sanchez916@example.com,2023-09-13,372.67,Canada,Beauty
654345,Paul,Taylor,paul.taylor243@example.com,2024-06-30,143.99,Germany,Home
145504,Joshua,Clark,joshua.clark413@example.com,2024-11-06,166.27,United States,Electronics
514262,David,White,david.white332@example.com,2022-04-29,83.4,United States,Beauty
776252,Donna,Clark,donna.clark690@example.com,2024-03-09,147.41,Germany,Books
273434,Thomas,Robinson,thomas.robinson228@example.com,2023-09-03,389.52,United States,Home
654056,Betty,Martin,betty.martin338@example.com,2022-12-29,498.41,United States,Electronics
819353,Daniel,Gonzalez,daniel.gonzalez33@example.com,2023-04-27,257.16,United States,Beauty
672419,John,Miller,john.miller339@example.com,2023-09-28,215.61,United States,Sports
100725,Karen,Jackson,karen.jackson822@example.com,2022-05-01,113.85,Canada,Sports
389621,Sandra,Wilson,sandra.wilson753@example.com,2025-04-08,70.04,Australia,Electronics
546724,Jennifer,Garcia,jennifer.garcia182@example.com,2022-08-26,408.12,United States,Clothing
862340,Andrew,Clark,andrew.clark697@example.com,2024-04-09,352.39,France,Beauty
926960,Anthony,Thompson,anthony.thompson515@example.com,2025-12-27,463.84,United States,Beauty
769862,John,Johnson,john.johnson807@example.com,2023-09-12,70.09,United Kingdom,Clothing
325294,Susan,Lopez,susan.lopez135@example.com,2025-01-18,213.83,Australia,Sports
101331,Michael,Clark,michael.clark229@example.com,2024-11-21,163.76,Australia,Electronics
275479,Donna,Hernandez,donna.hernandez805@example.com,2024-09-13,104.58,Canada,Electronics
132680,Robert,Garcia,robert.garcia877@example.com,2023-08-26,407.22,Germany,Electronics
668304,Jennifer,Robinson,jennifer.robinson384@example.com,2025-02-18,36.85,Australia,Books
947689,Jennifer,Martin,jennifer.martin303@example.com,2025-05-29,288.42,United Kingdom,Clothing
520659,Lisa,Johnson,lisa.johnson899@example.com,2023-12-31,174.66,United Kingdom,Books
952470,Donna,Davis,donna.davis854@example.com,2025-03-26,211.77,Canada,Beauty
554137,Ashley,Williams,ashley.williams495@example.com,2022-01-16,272.77,Australia,Beauty
254773,Joshua,Ramirez,joshua.ramirez209@example.com,2025-12-19,89.84,Germany,Beauty
850139,Lisa,Smith,lisa.smith503@example.com,2025-12-08,59.69,Canada,Clothing
719699,Joseph,Miller,joseph.miller833@example.com,2022-10-15,46.37,United States,Beauty
470162,David,Jones,david.jones44@example.com,2025-02-26,437.05,Germany,Home
143357,Patricia,Clark,patricia.clark219@example.com,2024-09-05,437.66,United States,Sports
620121,Lisa,Taylor,lisa.taylor570@example.com,2023-12-16,198.82,Australia,Home
667176,James,Gonzalez,james.gonzalez410@example.com,2022-08-06,43.46,France,Clothing
534649,William,White,william.white34@example.com,2025-08-23,122.48,United States,Sports
720661,Lisa,Williams,lisa.williams440@example.com,2023-10-14,250.29,United States,Electronics
223605,Emily,Wilson,emily.wilson50@example.com,2025-08-10,41.1,United States,Electronics
799636,William,Ramirez,william.ramirez685@example.com,2025-12-26,326.08,United States,Books
744435,Joshua,Robinson,joshua.robinson227@example.com,2023-02-05,39.05,United States,Beauty
881755,Steven,Harris,steven.harris508@example.com,2025-04-04,363.12,United States,Sports
926309,Elizabeth,Davis,elizabeth.davis118@example.com,2023-08-06,409.84,United States,Sports
681929,Steven,Thompson,steven.thompson620@example.com,2022-08-04,424.45,France,Books
505697,Michael,Jackson,michael.jackson782@example.com,2024-04-08,431.49,United States,Home
476764,Mary,Lopez,mary.lopez168@example.com,2022-07-02,41.9,Australia,Clothing
931108,Margaret,Smith,margaret.smith532@example.com,2022-09-08,208.42,United States,Electronics
822507,Emily,Harris,emily.harris14@example.com,2023-06-03,135,Germany,Sports
980630,John,Lewis,john.lewis555@example.com,2025-12-07,46.93,United Kingdom,Electronics
369121,John,Sanchez,john.sanchez794@example.com,2025-02-04,421.98,United States,Beauty
441503,Thomas,Rodriguez,thomas.rodriguez580@example.com,2023-12-23,24.62,Canada,Beauty
813141,Nancy,Clark,nancy.clark931@example.com,2024-10-24,27.02,Germany,Books
578919,Thomas,Hernandez,thomas.hernandez408@example.com,2024-06-04,301.12,United States,Beauty
768653,Paul,Robinson,paul.robinson854@example.com,2023-12-15,290.03,United States,Home
248540,Joshua,Rodriguez,joshua.rodriguez81@example.com,2023-09-17,80.11,United Kingdom,Electronics
404460,Michelle,Lopez,michelle.lopez466@example.com,2025-08-25,227.1,Canada,Home
989163,Richard,Perez,richard.perez780@example.com,2025-07-08,271.49,Canada,Sports
734199,Jennifer,Lewis,jennifer.lewis615@example.com,2023-12-09,105.67,United States,Home
619432,William,Taylor,william.taylor646@example.com,2024-03-31,70.5,France,Books
846795,Matthew,Lewis,matthew.lewis532@example.com,2023-10-18,295.4,United States,Books
506239,William,Martin,william.martin826@example.com,2024-07-02,479.08,United States,Sports
505742,William,Harris,william.harris737@example.com,2025-01-11,205.52,United States,Clothing
423424,Joshua,Taylor,joshua.taylor131@example.com,2023-07-08,405.88,Canada,Beauty
723374,Anthony,Thomas,anthony.thomas667@example.com,2022-04-05,71.22,United States,Clothing
979951,Ashley,White,ashley.white503@example.com,2025-11-01,154.72,United States,Home
961782,Ashley,Jones,ashley.jones212@example.com,2022-06-27,361.23,United States,Clothing
386802,Barbara,Miller,barbara.miller349@example.com,2022-11-07,177.37,Australia,Electronics
100721,Kimberly,Hernandez,kimberly.hernandez764@example.com,2024-12-06,420.47,United States,Sports
165555,Mark,Garcia,mark.garcia111@example.com,2024-01-12,478.34,United States,Clothing
108655,Lisa,Robinson,lisa.robinson750@example.com,2023-04-12,171.92,Germany,Clothing
853917,Linda,Taylor,linda.taylor279@example.com,2024-01-31,460.09,United States,Beauty
969606,Michelle,Davis,michelle.davis296@example.com,2025-09-21,83.21,United States,Books
852697,Linda,Smith,linda.smith620@example.com,2022-06-24,442.76,France,Beauty
384025,Thomas,Lewis,thomas.lewis763@example.com,2023-04-09,365.51,Germany,Home
832272,Robert,Rodriguez,robert.rodriguez883@example.com,2022-03-05,405.65,United Kingdom,Sports
636864,Joseph,Rodriguez,joseph.rodriguez712@example.com,2023-02-08,343.65,United Kingdom,Sports
720485,Paul,Jones,paul.jones706@example.com,2023-09-15,32.11,United States,Electronics
547830,Kimberly,Jones,kimberly.jones234@example.com,2022-07-09,116.34,United Kingdom,Beauty
814558,Kimberly,Williams,kimberly.williams515@example.com,2022-08-12,330.04,France,Books
694397,Matthew,Jones,matthew.jones883@example.com,2023-09-29,89.69,Canada,Sports
644544,Michelle,Harris,michelle.harris825@example.com,2024-06-10,407.28,Australia,Home
628413,Donald,Anderson,donald.anderson996@example.com,2023-08-02,390.39,Germany,Clothing
537268,Susan,Harris,susan.harris720@example.com,2023-09-08,256.11,France,Clothing
304914,Ashley,Clark,ashley.clark642@example.com,2022-11-02,164.14,United States,Clothing
234491,Christopher,Miller,christopher.miller335@example.com,2022-08-28,43.13,Canada,Beauty
812573,Emily,Harris,emily.harris192@example.com,2025-02-07,22.37,United States,Clothing
363995,Nancy,Lopez,nancy.lopez236@example.com,2025-02-08,370.75,United States,Sports
266553,James,Rodriguez,james.rodriguez452@example.com,2024-03-23,241.68,United States,Sports
843011,John,Moore,john.moore132@example.com,2025-01-11,277.53,Canada,Home
841101,Steven,Anderson,steven.anderson81@example.com,2025-09-24,73.4,United Kingdom,Home
317691,Robert,Perez,robert.perez863@example.com,2023-03-17,361.22,United States,Home
733525,Richard,Brown,richard.brown381@example.com,2025-12-23,76.77,United States,Books
786649,John,Thomas,john.thomas862@example.com,2023-08-29,358.82,France,Home
928744,Thomas,Davis,thomas.davis4@example.com,2025-07-25,411.33,United States,Sports
185584,Sarah,Robinson,sarah.robinson294@example.com,2023-12-30,79.74,Germany,Beauty
500504,Karen,Lopez,karen.lopez725@example.com,2024-08-02,162.83,France,Clothing
172485,Joshua,Sanchez,joshua.sanchez628@example.com,2024-09-07,57.38,United States,Home
337797,Joseph,Clark,joseph.clark249@example.com,2023-07-21,394.89,France,Clothing
752446,Margaret,Clark,margaret.clark631@example.com,2024-08-15,23.96,United States,Electronics
882564,Susan,Sanchez,susan.sanchez649@example.com,2023-09-12,120.88,United States,Beauty
620444,Lisa,White,lisa.white729@example.com,2025-01-16,353.5,Germany,Books
533434,Robert,White,robert.white544@example.com,2024-12-08,258.23,Germany,Sports
636593,Betty,Johnson,betty.johnson971@example.com,2025-12-26,498.03,Germany,Clothing
221219,Lisa,Jackson,lisa.jackson605@example.com,2022-11-11,254.58,United States,Sports
558337,Joseph,Taylor,joseph.taylor131@example.com,2024-10-02,452.48,United Kingdom,Electronics
320888,Susan,Brown,susan.brown165@example.com,2022-12-09,101.25,Germany,Home
376864,Emily,Johnson,emily.johnson952@example.com,2024-06-18,16.75,Canada,Books
223374,Karen,White,karen.white965@example.com,2024-12-11,116.99,United States,Sports
424695,Sandra,Thomas,sandra.thomas741@example.com,2024-10-13,135.36,Canada,Clothing
522250,Matthew,Wilson,matthew.wilson881@example.com,2023-12-25,207.09,United States,Sports
495968,William,Garcia,william.garcia876@example.com,2025-01-30,427.72,United States,Clothing
925694,Paul,Jones,paul.jones124@example.com,2025-04-04,416.21,United States,Beauty
535513,Paul,Garcia,paul.garcia493@example.com,2025-02-11,397.17,Germany,Clothing
547387,Thomas,Thompson,thomas.thompson810@example.com,2023-03-18,303.36,United States,Electronics
413906,Lisa,Lee,lisa.lee601@example.com,2024-06-01,289.26,Australia,Electronics
521838,Betty,Perez,betty.perez990@example.com,2024-03-24,25.91,United States,Home
342863,Michael,Garcia,michael.garcia208@example.com,2023-06-01,330.18,United States,Home
646361,Sarah,Jackson,sarah.jackson900@example.com,2025-02-25,54.87,France,Books
424310,Margaret,Lopez,margaret.lopez101@example.com,2022-11-12,483.77,United States,Electronics
507684,Jessica,Anderson,jessica.anderson571@example.com,2025-10-29,53.29,Australia,Electronics
421839,Emily,Thompson,emily.thompson744@example.com,2023-04-07,396.75,United States,Beauty
199454,Jennifer,Thompson,jennifer.thompson421@example.com,2023-11-24,293.9,France,Books
960113,Emily,Sanchez,emily.sanchez641@example.com,2025-12-24,192.41,France,Clothing
176809,Michelle,Davis,michelle.davis512@example.com,2025-03-21,379.81,France,Clothing
900128,Anthony,Miller,anthony.miller932@example.com,2025-11-12,203,United Kingdom,Clothing
612608,Betty,Anderson,betty.anderson438@example.com,2024-11-30,251.26,Canada,Beauty
319781,Lisa,Sanchez,lisa.sanchez573@example.com,2024-05-20,45.23,Germany,Home
193636,Ashley,Rodriguez,ashley.rodriguez610@example.com,2022-05-30,296.56,United States,Beauty
124627,Emily,Lee,emily.lee558@example.com,2023-09-02,97.79,Germany,Clothing
301314,Richard,Martin,richard.martin622@example.com,2022-01-27,342.99,Canada,Sports
220566,Lisa,Ramirez,lisa.ramirez29@example.com,2022-03-09,56.05,United States,Beauty
211424,Nancy,Martinez,nancy.martinez539@example.com,2022-01-01,160.83,United States,Clothing
532745,Thomas,Thomas,thomas.thomas634@example.com,2022-11-17,381.49,United States,Beauty
733034,James,Williams,james.williams3@example.com,2024-12-10,475.87,United States,Sports
915097,Thomas,Clark,thomas.clark472@example.com,2025-12-12,306.74,United States,Books
939628,Joshua,Jackson,joshua.jackson979@example.com,2022-07-03,177.89,France,Clothing
656076,Mary,Gonzalez,mary.gonzalez466@example.com,2025-06-09,469.92,United States,Books
342395,Matthew,Anderson,matthew.anderson186@example.com,2022-03-16,296.18,United States,Electronics
939871,Barbara,Harris,barbara.harris199@example.com,2024-07-27,98.79,United States,Books
281876,Patricia,Lopez,patricia.lopez522@example.com,2024-03-03,288.13,Canada,Clothing
379925,Lisa,Martin,lisa.martin481@example.com,2022-08-01,335.64,Australia,Home
479492,Mark,Martin,mark.martin201@example.com,2022-11-18,386.43,Canada,Electronics
224303,Linda,Perez,linda.perez344@example.com,2023-09-24,342.14,United States,Sports
808761,Ashley,Miller,ashley.miller641@example.com,2023-01-10,367.78,Germany,Electronics
956850,Donna,Wilson,donna.wilson521@example.com,2023-11-28,209.09,United Kingdom,Beauty
771980,Emily,Wilson,emily.wilson773@example.com,2022-05-09,27.12,Australia,Home
806268,Joshua,Thomas,joshua.thomas206@example.com,2023-12-12,255.47,France,Sports
970269,Donna,Martinez,donna.martinez850@example.com,2023-03-12,474.96,France,Sports
387107,Sarah,Lewis,sarah.lewis509@example.com,2022-04-15,92.43,United States,Sports
514830,Ashley,Perez,ashley.perez435@example.com,2023-12-20,301.32,Germany,Home
871072,Nancy,Taylor,nancy.taylor456@example.com,2025-09-05,373.29,United States,Home
959061,Donna,Lee,donna.lee272@example.com,2024-06-25,374.84,United States,Books
948453,Jessica,Rodriguez,jessica.rodriguez875@example.com,2024-06-26,454.49,Germany,Books
137831,William,Rodriguez,william.rodriguez25@example.com,2024-01-17,128.26,Canada,Beauty
778904,James,Moore,james.moore743@example.com,2023-07-13,342.82,Australia,Beauty
517714,Christopher,Lewis,christopher.lewis233@example.com,2025-08-07,315.63,United States,Electronics
348537,Mark,Sanchez,mark.sanchez835@example.com,2023-12-17,147.03,Germany,Electronics
910394,Donald,Taylor,donald.taylor8@example.com,2024-02-07,122.49,United States,Books
659601,Lisa,Robinson,lisa.robinson413@example.com,2025-04-03,102.36,Australia,Electronics
359705,Anthony,Martin,anthony.martin389@example.com,2023-09-13,488.25,United Kingdom,Books
390137,Mary,Thomas,mary.thomas227@example.com,2024-07-28,112.43,France,Home
191604,Daniel,Smith,daniel.smith740@example.com,2024-03-02,117.03,Germany,Books
370079,Mary,Hernandez,mary.hernandez106@example.com,2022-04-04,403.06,Germany,Sports
478498,Kimberly,Davis,kimberly.davis891@example.com,2024-12-27,231.46,United Kingdom,Clothing
311907,Charles,Robinson,charles.robinson405@example.com,2024-08-14,147.76,Canada,Books
926993,Betty,Ramirez,betty.ramirez443@example.com,2022-03-18,131.34,Germany,Clothing
609285,Richard,Clark,richard.clark803@example.com,2025-03-14,313.47,United States,Home
723520,Elizabeth,Sanchez,elizabeth.sanchez55@example.com,2025-12-22,477.91,United Kingdom,Electronics
155964,Jennifer,Smith,jennifer.smith184@example.com,2025-07-10,249.72,United States,Beauty
215526,Joshua,Hernandez,joshua.hernandez118@example.com,2024-03-13,156.52,Canada,Beauty
583900,Donald,Jackson,donald.jackson650@example.com,2024-08-19,109.07,United States,Clothing
975064,Mary,Wilson,mary.wilson90@example.com,2023-06-24,133.29,France,Sports
787132,Lisa,Rodriguez,lisa.rodriguez723@example.com,2024-08-26,268.77,United States,Home
124040,Daniel,Perez,daniel.perez776@example.com,2025-08-06,346.27,Canada,Clothing
897469,Sandra,Smith,sandra.smith744@example.com,2024-04-06,431.75,Canada,Sports
892951,Donald,Johnson,donald.johnson493@example.com,2022-06-24,321.89,France,Beauty
813241,Linda,Garcia,linda.garcia615@example.com,2023-01-09,127.19,Australia,Electronics
329031,Andrew,Brown,andrew.brown131@example.com,2023-01-20,251.07,United States,Beauty
775920,Donna,Taylor,donna.taylor989@example.com,2023-09-02,480.38,United States,Books
317161,Jessica,Thomas,jessica.thomas422@example.com,2024-10-22,228.49,United States,Books
629556,James,Thomas,james.thomas593@example.com,2022-05-16,381.66,United Kingdom,Sports
986070,Lisa,Brown,lisa.brown908@example.com,2022-03-03,411.15,United States,Sports
137552,Sandra,Taylor,sandra.taylor210@example.com,2025-01-06,343.56,United States,Beauty
866248,Sarah,Taylor,sarah.taylor993@example.com,2023-02-06,404.71,United States,Beauty
982298,Daniel,Anderson,daniel.anderson219@example.com,2024-06-05,465.55,United States,Home
823622,James,Ramirez,james.ramirez299@example.com,2023-06-22,313.89,Canada,Beauty
160561,Michelle,Smith,michelle.smith194@example.com,2022-08-30,434.77,United Kingdom,Beauty
356752,Matthew,Sanchez,matthew.sanchez263@example.com,2023-05-19,372.28,United States,Sports
880356,Kimberly,Hernandez,kimberly.hernandez765@example.com,2025-07-02,256.26,United States,Home
